0 0
1e-06 0
2e-06 0
3e-06 0
4e-06 0
5e-06 0
6e-06 0
7e-06 0
8e-06 0
9e-06 0
1e-05 0
1.1e-05 0
1.2e-05 0
1.3e-05 0
1.4e-05 0
1.5e-05 0
1.6e-05 0
1.7e-05 0
1.8e-05 0
1.9e-05 0
2e-05 0
2.1e-05 0
2.2e-05 0
2.3e-05 0
2.4e-05 0
2.5e-05 0
2.6e-05 0
2.7e-05 0
2.8e-05 0
2.9e-05 0
3e-05 1
3.1e-05 1
3.2e-05 1
3.3e-05 1
3.4e-05 1
3.5e-05 1
3.6e-05 1
3.7e-05 1
3.8e-05 1
3.9e-05 1
4e-05 1
4.1e-05 1
4.2e-05 1
4.3e-05 1
4.4e-05 1
4.5e-05 1
4.6e-05 1
4.7e-05 1
4.8e-05 1
4.9e-05 1
5e-05 1
5.1e-05 1
5.2e-05 1
5.3e-05 1
5.4e-05 1
5.5e-05 2
5.6e-05 3
5.7e-05 3
5.8e-05 3
5.9e-05 3
6e-05 3
6.1e-05 3
6.2e-05 4
6.3e-05 4
6.4e-05 5
6.5e-05 5
6.6e-05 5
6.7e-05 5
6.8e-05 5
6.9e-05 5
7e-05 5
7.1e-05 5
7.2e-05 5
7.3e-05 5
7.4e-05 5
7.5e-05 5
7.6e-05 5
7.7e-05 5
7.8e-05 5
7.9e-05 5
8e-05 5
8.1e-05 5
8.2e-05 5
8.3e-05 5
8.4e-05 5
8.5e-05 5
8.6e-05 5
8.7e-05 5
8.8e-05 5
8.9e-05 5
9e-05 5
9.1e-05 5
9.2e-05 5
9.3e-05 5
9.4e-05 5
9.5e-05 5
9.6e-05 5
9.7e-05 6
9.8e-05 6
9.9e-05 7
0.0001 7
